# wavelength[um] flux[erg/cm2/s/cm]
6.044954527210790296e+00 9.046229794922567904e+06
6.051002505222769834e+00 5.084742697315713391e+06
6.057056534237768020e+00 1.806308755880434066e+07
6.063116620309810578e+00 1.971691206043200567e+07
6.069182769498975283e+00 1.034602266564296000e+07
6.075254987871399948e+00 1.076162691504918411e+07
6.081333281499318844e+00 2.137318433980022371e+07
6.087417656461035165e+00 2.677445462119446322e+07
6.093508118840904153e+00 2.892246363221011683e+07
6.099604674729399711e+00 2.645528791345713288e+07
6.105707330223097529e+00 1.527969315085377172e+07
6.111816091424631558e+00 1.187130322630556300e+07
6.117930964442756192e+00 1.359626980891779810e+07
6.124051955392354252e+00 2.524313640728720278e+07
6.130179070394424556e+00 3.442135379356207699e+07
6.136312315576075704e+00 3.304174607533964887e+07
6.142451697070548278e+00 1.645552288789095357e+07
6.148597221017229053e+00 2.550488813000962883e+07
6.154748893561648337e+00 2.424001806058678776e+07
6.160906720855489738e+00 1.181213782549479976e+07
6.167070709056560851e+00 2.299623124822643772e+07
6.173240864328839450e+00 2.899853099837832898e+07
6.179417192842489470e+00 2.327026579324202240e+07
6.185599700773853904e+00 9.512418574231190607e+06
6.191788394305445031e+00 2.407401304897900671e+07
6.197983279625935538e+00 3.379118774508395791e+07
6.204184362930218910e+00 3.958464326948869973e+07
6.210391650419379239e+00 2.599877196361246333e+07
6.216605148300705430e+00 3.340522528543414921e+07
6.222824862787705413e+00 2.700381521323667094e+07
6.229050800100091045e+00 4.752812646236355603e+07
6.235282966463794985e+00 3.393096323850304633e+07
6.241521368110988455e+00 3.467779376909221709e+07
6.247766011280059040e+00 3.935912231231292337e+07
6.254016902215655982e+00 4.472481764445121586e+07
6.260274047168675082e+00 4.769557810673236102e+07
6.266537452396248042e+00 3.650689563975973427e+07
6.272807124161805525e+00 3.272635219505499303e+07
6.279083068735027418e+00 4.588686746425296366e+07
6.285365292391835723e+00 4.022522368657641858e+07
6.291653801414451408e+00 3.665063117464780062e+07
6.297948602091395287e+00 4.469101770339236408e+07
6.304249700717476479e+00 4.820087056038074940e+07
6.310557103593776418e+00 4.968160179609434307e+07
6.316870817027704810e+00 4.372628001661182940e+07
6.323190847332971209e+00 4.439799587754835933e+07
6.329517200829613444e+00 3.810555869618000835e+07
6.335849883843987840e+00 2.689519448068549111e+07
6.342188902708793208e+00 1.138081723738563992e+07
6.348534263763021990e+00 1.883050280882181600e+07
6.354885973352024209e+00 2.986746263947559148e+07
6.361244037827538556e+00 3.223043689337019250e+07
6.367608463547619557e+00 1.856585460275568813e+07
6.373979256876696198e+00 1.692871319210792333e+07
6.380356424185563924e+00 3.156770851886624470e+07
6.386739971851379316e+00 2.451574923188206181e+07
6.393129906257697392e+00 2.237492850144928321e+07
6.399526233794450292e+00 2.829098156490784138e+07
6.405928960857968590e+00 1.735516221972662210e+07
6.412338093850992848e+00 9.888787730021603405e+06
6.418753639182643411e+00 7.770741849378072657e+06
6.425175603268465707e+00 1.988690494091095403e+07
6.431603992530422254e+00 1.633693138420910016e+07
6.438038813396905979e+00 2.311703116362700611e+07
6.444480072302737561e+00 3.108493216155358031e+07
6.450927775689183186e+00 1.888388242915779725e+07
6.457381930003953663e+00 2.803998344710618258e+07
6.463842541701190214e+00 3.095023889598675817e+07
6.470309617241494671e+00 1.476505330322958529e+07
6.476783163091949902e+00 1.721142008591461927e+07
6.483263185726116262e+00 1.093631669406387396e+07
6.489749691624008499e+00 1.034863720561207831e+07
6.496242687272122396e+00 8.231484029740367085e+06
6.502742179163471192e+00 1.345651545215652883e+07
6.509248173797545611e+00 1.783517751663869992e+07
6.515760677680336066e+00 1.628070538963789865e+07
6.522279697324338876e+00 1.434297074293046631e+07
6.528805239248586467e+00 2.344475029743882641e+07
6.535337309978613618e+00 3.082478688912251964e+07
6.541875916046493877e+00 2.220333096944962442e+07
6.548421063990831570e+00 2.240907227821169049e+07
6.554972760356781336e+00 1.429732701053508744e+07
6.561531011696033922e+00 2.288397193810415268e+07
6.568095824566834828e+00 1.480190848755091988e+07
6.574667205534010073e+00 1.226446501927410252e+07
6.581245161168945756e+00 1.884654905763471499e+07
6.587829698049589844e+00 1.747484556421597302e+07
6.594420822760478806e+00 1.697631032158706337e+07
6.601018541892748281e+00 1.944876492276847735e+07
6.607622862044109979e+00 3.012555924917336181e+07
6.614233789818874776e+00 2.133981701314323395e+07
6.620851331827975805e+00 1.918209304872826487e+07
6.627475494688961355e+00 1.398503893094963022e+07
6.634106285025993976e+00 1.084501455199706741e+07
6.640743709469855816e+00 1.065016812758407183e+07
6.647387774657984139e+00 1.601882442942170054e+07
6.654038487234453569e+00 2.761494880321187526e+07
6.660695853849973425e+00 2.654722941532942280e+07
6.667359881161896595e+00 2.014404705138498172e+07
6.674030575834250634e+00 1.322412156742581166e+07
6.680707944537742193e+00 1.724260349240264297e+07
6.687391993949728608e+00 2.036830247615284845e+07
6.694082730754263189e+00 1.874321846253357455e+07
6.700780161642089006e+00 2.355094549149205536e+07
6.707484293310628232e+00 1.716684177021224797e+07
6.714195132464016780e+00 1.492655618912142701e+07
6.720912685813111409e+00 1.640552456485511549e+07
6.727636960075451533e+00 2.016928478745914996e+07
6.734367961975309846e+00 3.184461431666309759e+07
6.741105698243684330e+00 2.577604534245396033e+07
6.747850175618314239e+00 1.339112706045562960e+07
6.754601400843687209e+00 2.572787182722789422e+07
6.761359380671025932e+00 3.297416413295660168e+07
6.768124121858305919e+00 2.337354176293414086e+07
6.774895631170272381e+00 1.376555338228755072e+07
6.781673915378439332e+00 2.178960160201575607e+07
6.788458981261083380e+00 1.093403619257245027e+07
6.795250835603268591e+00 1.433543087104540877e+07
6.802049485196855372e+00 2.632048023296145350e+07
6.808854936840480043e+00 1.997858744887565076e+07
6.815667197339611683e+00 3.263839879247476161e+07
6.822486273506513932e+00 1.790896883929413930e+07
6.829312172160262762e+00 1.647541164918883704e+07
6.836144900126752688e+00 2.183983824176792800e+07
6.842984464238715425e+00 3.232490244237398729e+07
6.849830871335718996e+00 2.147070158530649915e+07
6.856684128264157962e+00 1.163205909144604765e+07
6.863544241877307606e+00 1.190442591313438490e+07
6.870411219035266193e+00 2.044657277357222885e+07
6.877285066604999386e+00 2.869841385975772515e+07
6.884165791460373107e+00 2.060255478726032749e+07
6.891053400482104685e+00 4.152412822427963465e+07
6.897947900557811707e+00 3.517144950754229724e+07
6.904849298582002248e+00 1.988061303471770138e+07
6.911757601456057998e+00 2.426906895768453553e+07
6.918672816088298205e+00 4.255517196085447073e+07
6.925594949393933497e+00 3.459168736282100528e+07
6.932524008295088969e+00 4.663886757973587513e+07
6.939459999720836159e+00 3.361982925429841876e+07
6.946402930607153969e+00 3.884515691527515650e+07
6.953352807896971299e+00 3.515381214250003546e+07
6.960309638540181254e+00 1.648666591748193651e+07
6.967273429493618941e+00 2.909060407042081654e+07
6.974244187721073907e+00 3.126665726454742998e+07
6.981221920193293684e+00 3.833615913123806566e+07
6.988206633888011332e+00 3.842191300116813183e+07
6.995198335789934774e+00 2.819482886567799374e+07
7.002197032890780548e+00 4.500676140753582120e+07
7.009202732189245388e+00 4.606172311723660678e+07
7.016215440691027538e+00 3.601644187469854951e+07
7.023235165408840075e+00 2.526181804586925358e+07
7.030261913362399362e+00 5.028009240076311678e+07
7.037295691578454360e+00 4.436294637454834580e+07
7.044336507090792843e+00 1.948861781863804534e+07
7.051384366940223636e+00 2.974092728748855740e+07
7.058439278174613030e+00 3.847830393603690714e+07
7.065501247848868793e+00 5.369827952308076620e+07
7.072570283024954385e+00 6.163684825260537863e+07
7.079646390771910269e+00 4.162591011786857992e+07
7.086729578165847698e+00 4.451065328813324124e+07
7.093819852289949601e+00 5.090777898414198309e+07
7.100917220234500782e+00 5.857262843153866380e+07
7.108021689096868378e+00 5.302971297499654442e+07
7.115133265981508082e+00 3.183285678677208722e+07
7.122251958000004990e+00 3.935271550246942043e+07
7.129377772271054070e+00 5.617943998900549114e+07
7.136510715920461934e+00 4.798130958757278323e+07
7.143650796081180587e+00 3.223070166084751859e+07
7.150798019893290558e+00 3.227596162371914461e+07
7.157952394504015103e+00 3.661175142069199681e+07
7.165113927067729094e+00 3.066177255195889622e+07
7.172282624745966118e+00 2.998100046569802240e+07
7.179458494707433580e+00 5.532624026400543749e+07
7.186641544127991388e+00 5.795842730879313499e+07
7.193831780190692804e+00 5.429260678288315982e+07
