# wavelength[um] flux[W/sr/m2/um]
4.846340876101235651e+00 1.851973757523751596e-01
4.851189640955513305e+00 2.920505122143776111e-01
4.856043256999840629e+00 1.749019371468589767e-01
4.860901729087831136e+00 4.187719786052108151e-01
4.865765062077957559e+00 1.839731360785407388e-01
4.870633260833544753e+00 5.287211232054062071e-01
4.875506330222795448e+00 2.334336430471492252e-01
4.880384275118787585e+00 6.352034717501432448e-01
4.885267100399468099e+00 3.529154792279876052e-01
4.890154810947647590e+00 5.776002182870453305e-01
4.895047411651042069e+00 5.948274698054054621e-01
4.899944907402259631e+00 3.873544505087014311e-01
4.904847303098789801e+00 9.032018644615127378e-01
4.909754603643035509e+00 5.064873826017943781e-01
4.914666813942293544e+00 9.753159212558635272e-01
4.919583938908781207e+00 6.664509897551740281e-01
4.924505983459624758e+00 1.164378597399767123e+00
4.929432952516856759e+00 9.525228083169688942e-01
4.934364851007448038e+00 7.005197010362521626e-01
4.939301683863292602e+00 1.176947292772616782e+00
4.944243456021227168e+00 7.198387557969774253e-01
4.949190172423037382e+00 1.100872290636277562e+00
4.954141838015429400e+00 5.059424922964785853e-01
4.959098457750073408e+00 6.304180065900796270e-01
4.964060036583591184e+00 1.125819637907019999e+00
4.969026579477557881e+00 1.151214387970141972e+00
4.973998091398528665e+00 1.257607771453180368e+00
4.978974577317995198e+00 7.594933615887148326e-01
4.983956042212439819e+00 1.303264956118800999e+00
4.988942491063345308e+00 1.242930281253389557e+00
4.993933928857153148e+00 1.343875664642846468e+00
4.998930360585300825e+00 1.209373625587708556e+00
5.003931791244230709e+00 8.466698771576128824e-01
5.008938225835386504e+00 1.274220578321362707e+00
5.013949669365177719e+00 1.010252164439920275e+00
5.018966126845049835e+00 3.419822908147364671e-01
5.023987603291483417e+00 8.875935480792649379e-01
5.029014103725941709e+00 6.479849865048316060e-01
5.034045633174911494e+00 1.159861372471086893e+00
5.039082196669929736e+00 1.307060459301335964e+00
5.044123799247563156e+00 1.363269206307538450e+00
5.049170445949409114e+00 1.442347290147635075e+00
5.054222141822116932e+00 1.426304615759371286e+00
5.059278891917391441e+00 1.165997920057541881e+00
5.064340701291981439e+00 1.392598479853732085e+00
5.069407575007690347e+00 1.406867486113089427e+00
5.074479518131395750e+00 1.285284779503822250e+00
5.079556535735048506e+00 8.850473494459909496e-01
5.084638632895669197e+00 4.524265461062059179e-01
5.089725814695342798e+00 1.140250164802725896e+00
5.094818086221257758e+00 1.250849417812827324e+00
5.099915452565697116e+00 9.110446419065749701e-01
5.105017918826000312e+00 1.302249910540452138e+00
5.110125490104636903e+00 9.677350944927827214e-01
5.115238171509194132e+00 8.352720785127819569e-01
5.120355968152357384e+00 1.315039621026346417e+00
5.125478885151911967e+00 1.207616225633870055e+00
5.130606927630776859e+00 1.137149520988651963e+00
5.135740100717002932e+00 8.121256930189586498e-01
5.140878409543741867e+00 6.011513906924768058e-01
5.146021859249313657e+00 4.834875307906701392e-01
5.151170454977185287e+00 6.801175329072878251e-01
5.156324201875936986e+00 1.099840550980941911e+00
5.161483105099309299e+00 1.225234055599833560e+00
5.166647169806227069e+00 1.252599764259758164e+00
5.171816401160747922e+00 6.830501484101313414e-01
5.176990804332091578e+00 1.236260171782652462e+00
5.182170384494675375e+00 1.363303888778866879e+00
5.187355146828076080e+00 1.242484399910503301e+00
5.192545096517046765e+00 1.071320982538382927e+00
5.197740238751555886e+00 6.015741288258487085e-01
5.202940578726747312e+00 5.533041736990252923e-01
5.208146121642936777e+00 7.702958035532583292e-01
5.213356872705670497e+00 3.571061127677532254e-01
5.218572837125715402e+00 7.870783873132947139e-01
5.223794020119036041e+00 1.030050951732372599e+00
5.229020426906815011e+00 1.110556836488016286e+00
5.234252062715459175e+00 5.914545816748695284e-01
5.239488932776602326e+00 5.868597672502929852e-01
5.244731042327116732e+00 1.016322936095328755e+00
5.249978396609109588e+00 8.134047388884124707e-01
5.255231000869925673e+00 1.175719564030311082e+00
5.260488860362181995e+00 1.203369173621329224e+00
5.265751980343742922e+00 1.266496122222088738e+00
5.271020366077721064e+00 1.086750773429454586e+00
5.276294022832505703e+00 5.387051040040086169e-01
5.281572955881746800e+00 9.483507585467647605e-01
5.286857170504389636e+00 9.234579344290169134e-01
5.292146671984641948e+00 4.040541905799986400e-01
5.297441465612009459e+00 9.472196322597443707e-01
5.302741556681281665e+00 9.780711183568835398e-01
5.308046950492545157e+00 8.400370741886249437e-01
5.313357652351208493e+00 1.336798799075639144e+00
5.318673667567959562e+00 1.244700218093920174e+00
5.323995001458826870e+00 1.330488036361547666e+00
5.329321659345144901e+00 1.147337921931700144e+00
5.334653646553559447e+00 1.240786778780915922e+00
5.339990968416064021e+00 1.058222953296420688e+00
5.345333630269974101e+00 6.087225128982950428e-01
5.350681637457967987e+00 2.780456063011838008e-01
5.356034995328045945e+00 3.662148112380257947e-01
5.361393709233554183e+00 8.793148193057874762e-01
5.366757784533227493e+00 1.116857176636562921e+00
5.372127226591127069e+00 1.034442045357996554e+00
5.377502040776687586e+00 1.073172677623142279e+00
5.382882232464750061e+00 1.018992910082266334e+00
5.388267807035500567e+00 1.178326599799881969e+00
5.393658769874506653e+00 1.217567422368699415e+00
5.399055126372735103e+00 1.025813232558001609e+00
5.404456881926535949e+00 1.133139077710564324e+00
5.409864041937665569e+00 6.766829653919778087e-01
5.415276611813294672e+00 6.473261758530074461e-01
5.420694596965989653e+00 2.639879832463857823e-01
5.426118002813722363e+00 4.895222974371738478e-01
5.431546834779906519e+00 9.014657272103077101e-01
5.436981098293380832e+00 1.023499124452181830e+00
5.442420798788408121e+00 6.473024200798604966e-01
5.447865941704685966e+00 9.252928223262599783e-01
5.453316532487360035e+00 9.765938762844973420e-01
5.458772576587027636e+00 7.915290798496544822e-01
5.464234079459717286e+00 2.910133295081241411e-01
5.469701046566937563e+00 5.656880627869563805e-01
5.475173483375657568e+00 6.850656928803545709e-01
5.480651395358322020e+00 4.881778347460213885e-01
5.486134787992848594e+00 8.888152830895985623e-01
5.491623666762627032e+00 1.158622449059426129e+00
5.497118037156523584e+00 1.252633040781218066e+00
5.502617904668907656e+00 1.035142122307964208e+00
5.508123274799649138e+00 1.250307638974430979e+00
5.513634153054125520e+00 1.150480597018812778e+00
5.519150544943213887e+00 6.524543128631969946e-01
5.524672455983298036e+00 5.560824519686812240e-01
5.530199891696303105e+00 8.004564438802060922e-01
5.535732857609660051e+00 1.099312905500810178e+00
5.541271359256338513e+00 8.765602036851846135e-01
5.546815402174844145e+00 7.335083334196514926e-01
5.552364991909218617e+00 6.355431096581550809e-01
5.557920134009044943e+00 4.342241371255589066e-01
5.563480834029461697e+00 7.914584195454305027e-01
5.569047097531185209e+00 4.811849931038066353e-01
5.574618930080467827e+00 5.435966667632542437e-01
5.580196337249130778e+00 3.273142566976478540e-01
5.585779324614604135e+00 5.657644566355748417e-01
5.591367897759871752e+00 8.920225717622203288e-01
5.596962062273499683e+00 1.108979816643682392e+00
5.602561823749654835e+00 6.989275325724320087e-01
5.608167187788102304e+00 9.185727542574962934e-01
5.613778159994197381e+00 5.222945789851948240e-01
5.619394745978918415e+00 6.273409063346773173e-01
5.625016951358852602e+00 8.988496505481793353e-01
5.630644781756208417e+00 5.982562585665557320e-01
5.636278242798814730e+00 5.720913413582230378e-01
5.641917340120138569e+00 2.483724466976569845e-01
5.647562079359275344e+00 3.907919336894360995e-01
5.653212466160955074e+00 5.755908588760042521e-01
5.658868506175564583e+00 7.568364047642407444e-01
5.664530205059156387e+00 9.883204628032581374e-01
5.670197568473430039e+00 8.525037055966177002e-01
5.675870602085741901e+00 3.751830056711655814e-01
5.681549311569130012e+00 8.412394143061308061e-01
5.687233702602297214e+00 7.458486495242214742e-01
5.692923780869640460e+00 5.189722378330073882e-01
5.698619552061241045e+00 9.898877791368756451e-01
5.704321021872854836e+00 7.947230004785353907e-01
5.710028196005964674e+00 3.950655907487202190e-01
5.715741080167752841e+00 4.809773834563136896e-01
5.721459680071105502e+00 3.592324004913619584e-01
5.727184001434619809e+00 5.481964402842847139e-01
5.732914049982608340e+00 5.825247020567028144e-01
5.738649831445122196e+00 5.754692102361148587e-01
5.744391351557942116e+00 5.107191859387517630e-01
5.750138616062591801e+00 4.108514726567408792e-01
5.755891630706342355e+00 6.324178668823604577e-01
5.761650401242202513e+00 4.670480470269932072e-01
5.767414933428949730e+00 2.227831673643728971e-01
5.773185233031118635e+00 5.779541110094060796e-01
5.778961305818993921e+00 4.881212243882754320e-01
5.784743157568644101e+00 9.013840480322500293e-01
5.790530794061934827e+00 1.076423731480818935e+00
5.796324221086497808e+00 1.098499275732997438e+00
5.802123444435760113e+00 6.980648736536710919e-01
5.807928469908951286e+00 8.576469525017118567e-01
5.813739303311101558e+00 7.001722635355831503e-01
5.819555950453048077e+00 2.646924922987262674e-01
5.825378417151428678e+00 3.980347758649536161e-01
5.831206709228702323e+00 3.667863539634511616e-01
5.837040832513173072e+00 6.201681583303805256e-01
5.842880792838964332e+00 8.628659848994285619e-01
5.848726596046033066e+00 6.619467706231867421e-01
5.854578247980187555e+00 7.386399142011998986e-01
5.860435754493076743e+00 3.469996751359421538e-01
5.866299121442202669e+00 4.281247795951331203e-01
5.872168354690941783e+00 6.052996806211814462e-01
5.878043460108523632e+00 2.926850844962359810e-01
5.883924443570054841e+00 2.500426113579380938e-01
5.889811310956534207e+00 4.683900898873435414e-01
5.895704068154810074e+00 2.502254982647524328e-01
5.901602721057636280e+00 5.515353862761145365e-01
5.907507275563671278e+00 7.804495454368687302e-01
5.913417737577481681e+00 7.473297346653634543e-01
5.919334113009534271e+00 6.057356660218717881e-01
5.925256407776182677e+00 5.831501042190095907e-01
5.931184627799722442e+00 4.836574843447007943e-01
5.937118779008376812e+00 2.088793652634212683e-01
5.943058867336306506e+00 4.320438850203491832e-01
5.949004898723619483e+00 6.059092015967781908e-01
5.954956879116324764e+00 5.841115361612012613e-01
5.960914814466400813e+00 8.176752157788809150e-01
5.966878710731783109e+00 4.122703562717648929e-01
5.972848573876380129e+00 5.702137471716026695e-01
5.978824409870049372e+00 6.673653110580333170e-01
5.984806224688616894e+00 4.655089408809831020e-01
5.990794024313907506e+00 3.157550076460550192e-01
5.996787814733729682e+00 6.537855901097210376e-01
6.002787601941870221e+00 8.461915487922978540e-01
6.008793391938101358e+00 7.904228159932072950e-01
6.014805190728216289e+00 3.962463860218250478e-01
6.020823004324017624e+00 8.043256142884026572e-01
6.026846838743329826e+00 1.010074432020019009e+00
6.032876700009986770e+00 8.280257236720254266e-01
6.038912594153839741e+00 6.079162113998219930e-01
6.044954527210790296e+00 2.879504376414219191e-01
6.051002505222769834e+00 1.618523869256425496e-01
6.057056534237768020e+00 5.749659344970855512e-01
6.063116620309810578e+00 6.276088033851922043e-01
6.069182769498975283e+00 3.293241297155728997e-01
6.075254987871399948e+00 3.425532238481723835e-01
6.081333281499318844e+00 6.803295874586986480e-01
6.087417656461035165e+00 8.522573603105477735e-01
6.093508118840904153e+00 9.206306106923627386e-01
6.099604674729399711e+00 8.420979684691952682e-01
6.105707330223097529e+00 4.863677387771510596e-01
6.111816091424631558e+00 3.778753178818590741e-01
6.117930964442756192e+00 4.327827095400733626e-01
6.124051955392354252e+00 8.035139876725492236e-01
6.130179070394424556e+00 1.095665720832073697e+00
6.136312315576075704e+00 1.051751443255507512e+00
6.142451697070548278e+00 5.237955617539331588e-01
6.148597221017229053e+00 8.118458037793677695e-01
6.154748893561648337e+00 7.715837389958409842e-01
6.160906720855489738e+00 3.759920246820498413e-01
6.167070709056560851e+00 7.319927751279089456e-01
6.173240864328839450e+00 9.230519101590933806e-01
6.179417192842489470e+00 7.407155656113424413e-01
6.185599700773853904e+00 3.027896873696107050e-01
6.191788394305445031e+00 7.662996353607598454e-01
6.197983279625935538e+00 1.075606912515277847e+00
6.204184362930218910e+00 1.260018329373690404e+00
6.210391650419379239e+00 8.275666144655811074e-01
6.216605148300705430e+00 1.063321345855043232e+00
6.222824862787705413e+00 8.595581347053480314e-01
6.229050800100091045e+00 1.512867252476375546e+00
6.235282966463794985e+00 1.080056104655429117e+00
6.241521368110988455e+00 1.103828458774470889e+00
6.247766011280059040e+00 1.252839774352622282e+00
6.254016902215655982e+00 1.423635161399605886e+00
6.260274047168675082e+00 1.518197403862407979e+00
6.266537452396248042e+00 1.162050579601544564e+00
6.272807124161805525e+00 1.041712144241860427e+00
6.279083068735027418e+00 1.460624355987704792e+00
6.285365292391835723e+00 1.280408637339166100e+00
6.291653801414451408e+00 1.166625823776623383e+00
6.297948602091395287e+00 1.422559275860459715e+00
6.304249700717476479e+00 1.534281362203442356e+00
6.310557103593776418e+00 1.581414501314320153e+00
6.316870817027704810e+00 1.391850721532827517e+00
6.323190847332971209e+00 1.413232101457082779e+00
6.329517200829613444e+00 1.212937605155081533e+00
6.335849883843987840e+00 8.561006294037913911e-01
6.342188902708793208e+00 3.622626639510745927e-01
6.348534263763021990e+00 5.993935205859622917e-01
6.354885973352024209e+00 9.507108633370096040e-01
6.361244037827538556e+00 1.025926669918251433e+00
6.367608463547619557e+00 5.909695065507969414e-01
6.373979256876696198e+00 5.388576769417909862e-01
6.380356424185563924e+00 1.004831370572339289e+00
6.386739971851379316e+00 7.803605347710733664e-01
6.393129906257697392e+00 7.122160944666775517e-01
6.399526233794450292e+00 9.005299121953536101e-01
6.405928960857968590e+00 5.524319710862405364e-01
6.412338093850992848e+00 3.147698896838842519e-01
6.418753639182643411e+00 2.473503953639153707e-01
6.425175603268465707e+00 6.330198448289230395e-01
6.431603992530422254e+00 5.200206769499996495e-01
6.438038813396905979e+00 7.358379558601254589e-01
6.444480072302737561e+00 9.894641218374974345e-01
6.450927775689183186e+00 6.010926466733303997e-01
6.457381930003953663e+00 8.925403939643745677e-01
6.463842541701190214e+00 9.851767020342675485e-01
6.470309617241494671e+00 4.699862436448611902e-01
6.476783163091949902e+00 5.478565168608890978e-01
6.483263185726116262e+00 3.481137722157361947e-01
6.489749691624008499e+00 3.294073531075721872e-01
6.496242687272122396e+00 2.620162744630346596e-01
6.502742179163471192e+00 4.283341902006365109e-01
6.509248173797545611e+00 5.677113325388967180e-01
6.515760677680336066e+00 5.182309479567466237e-01
6.522279697324338876e+00 4.565509384719635966e-01
6.528805239248586467e+00 7.462695798785144996e-01
6.535337309978613618e+00 9.811834406316193302e-01
6.541875916046493877e+00 7.067539753786544754e-01
6.548421063990831570e+00 7.133029246361901610e-01
6.554972760356781336e+00 4.550980533455859511e-01
6.561531011696033922e+00 7.284194503050992475e-01
6.568095824566834828e+00 4.711593805975218263e-01
6.574667205534010073e+00 3.903900464390222536e-01
6.581245161168945756e+00 5.999042885492934518e-01
6.587829698049589844e+00 5.562416102624905268e-01
6.594420822760478806e+00 5.403727406285089296e-01
6.601018541892748281e+00 6.190734148981733576e-01
6.607622862044109979e+00 9.589263335827414858e-01
6.614233789818874776e+00 6.792674724636542649e-01
6.620851331827975805e+00 6.105849855107576829e-01
6.627475494688961355e+00 4.451576150386458153e-01
6.634106285025993976e+00 3.452075347707740938e-01
6.640743709469855816e+00 3.390053804529521986e-01
6.647387774657984139e+00 5.098950180927347420e-01
6.654038487234453569e+00 8.790111210521579510e-01
6.660695853849973425e+00 8.450245573688490719e-01
6.667359881161896595e+00 6.412049324207277357e-01
6.674030575834250634e+00 4.209368631007921469e-01
6.680707944537742193e+00 5.488491155178917280e-01
6.687391993949728608e+00 6.483432042941236206e-01
6.694082730754263189e+00 5.966151735526985522e-01
6.700780161642089006e+00 7.496498778917494166e-01
6.707484293310628232e+00 5.464375450011403901e-01
6.714195132464016780e+00 4.751270401675197763e-01
6.720912685813111409e+00 5.222040657024413779e-01
6.727636960075451533e+00 6.420082745104582767e-01
6.734367961975309846e+00 1.013645555870374304e+00
6.741105698243684330e+00 8.204770059224747447e-01
6.747850175618314239e+00 4.262528130486311073e-01
6.754601400843687209e+00 8.189435953076065200e-01
6.761359380671025932e+00 1.049600243216704865e+00
6.768124121858305919e+00 7.440029418271644213e-01
6.774895631170272381e+00 4.381711730372844782e-01
6.781673915378439332e+00 6.935845605927778434e-01
6.788458981261083380e+00 3.480411815987184965e-01
6.795250835603268591e+00 4.563109368958063738e-01
6.802049485196855372e+00 8.378069067256672664e-01
6.808854936840480043e+00 6.359381896964517722e-01
6.815667197339611683e+00 1.038912500485381196e+00
