# wavelength[um] flux[erg/cm2/s/cm]
5.591367897759871752e+00 1.826977411571724713e+07
5.596962062273499683e+00 2.608808258446674049e+07
5.602561823749654835e+00 1.204807702787306346e+07
5.608167187788102304e+00 1.828176753693454340e+07
5.613778159994197381e+00 6.397572645780609921e+06
5.619394745978918415e+00 7.785046615911290981e+06
5.625016951358852602e+00 1.663915381496880203e+07
5.630644781756208417e+00 7.374385752363962121e+06
5.636278242798814730e+00 4.984345695615890436e+06
5.641917340120138569e+00 1.144539023979389574e+06
5.647562079359275344e+00 2.987232570582585875e+06
5.653212466160955074e+00 6.902342892690164968e+06
5.658868506175564583e+00 1.227833351690579019e+07
5.664530205059156387e+00 1.944525710091066360e+07
5.670197568473430039e+00 1.403414672533910722e+07
5.675870602085741901e+00 2.536502908725609072e+06
5.681549311569130012e+00 1.336173557932697050e+07
5.687233702602297214e+00 1.163446795654272661e+07
5.692923780869640460e+00 5.608460683542711660e+06
5.698619552061241045e+00 1.904495939577055350e+07
5.704321021872854836e+00 1.304656622926285118e+07
5.710028196005964674e+00 3.284995805349917151e+06
5.715741080167752841e+00 4.282787621785082854e+06
5.721459680071105502e+00 2.229536274291758891e+06
5.727184001434619809e+00 5.182050748312640935e+06
5.732914049982608340e+00 6.609065816512394696e+06
5.738649831445122196e+00 5.568884719025009312e+06
5.744391351557942116e+00 3.663980997241861653e+06
5.750138616062591801e+00 2.726015112419281155e+06
5.755891630706342355e+00 5.881186734723027796e+06
5.761650401242202513e+00 3.081308453673040029e+06
5.767414933428949730e+00 1.316716643264055951e+06
5.773185233031118635e+00 5.147028692394796759e+06
5.778961305818993921e+00 4.563210395878107287e+06
5.784743157568644101e+00 1.386854138285821490e+07
5.790530794061934827e+00 2.002631508420592174e+07
5.796324221086497808e+00 2.048411568484320864e+07
5.802123444435760113e+00 9.014537950020538643e+06
5.807928469908951286e+00 1.249273269128533639e+07
5.813739303311101558e+00 7.010674104905475862e+06
5.819555950453048077e+00 1.355587475634600036e+06
5.825378417151428678e+00 2.520753416627739556e+06
5.831206709228702323e+00 2.168832760348549578e+06
5.837040832513173072e+00 6.579142955941377208e+06
5.842880792838964332e+00 1.220210725877133384e+07
5.848726596046033066e+00 7.083568428942563944e+06
5.854578247980187555e+00 7.792362474755954929e+06
5.860435754493076743e+00 1.793236923023446230e+06
5.866299121442202669e+00 2.471355107809497975e+06
5.872168354690941783e+00 4.431589903640247881e+06
5.878043460108523632e+00 1.827905045689626131e+06
5.883924443570054841e+00 1.515926510487946915e+06
5.889811310956534207e+00 2.461859016680816188e+06
5.895704068154810074e+00 1.547523596535264049e+06
5.901602721057636280e+00 3.547733827513150405e+06
5.907507275563671278e+00 8.587812096120979637e+06
5.913417737577481681e+00 7.738183373589554802e+06
5.919334113009534271e+00 5.253127054633169435e+06
5.925256407776182677e+00 4.566399897638020106e+06
5.931184627799722442e+00 2.615872000333682168e+06
5.937118779008376812e+00 1.472902273989903741e+06
5.943058867336306506e+00 2.663552311844011769e+06
5.949004898723619483e+00 4.986027150648839772e+06
5.954956879116324764e+00 6.054109089667113498e+06
5.960914814466400813e+00 9.040402958508558571e+06
5.966878710731783109e+00 2.828886845442842226e+06
5.972848573876380129e+00 3.807902216109727975e+06
5.978824409870049372e+00 5.034083617448226549e+06
5.984806224688616894e+00 2.564442084331994876e+06
5.990794024313907506e+00 1.752931916525631445e+06
5.996787814733729682e+00 5.925923417613080703e+06
6.002787601941870221e+00 1.017207271795046888e+07
6.008793391938101358e+00 6.713244657665470615e+06
6.014805190728216289e+00 2.231839099088896532e+06
6.020823004324017624e+00 7.618728835146999918e+06
6.026846838743329826e+00 1.167716842018017359e+07
6.032876700009986770e+00 8.062911858922887594e+06
6.038912594153839741e+00 4.266393867397571914e+06
6.044954527210790296e+00 1.628237516727507580e+06
6.051002505222769834e+00 1.843098626190149924e+06
6.057056534237768020e+00 2.929039213399542030e+06
6.063116620309810578e+00 3.711924314864747692e+06
6.069182769498975283e+00 1.856891161734431284e+06
6.075254987871399948e+00 1.892224229237508262e+06
6.081333281499318844e+00 5.683227305660326965e+06
6.087417656461035165e+00 8.631184825376411900e+06
6.093508118840904153e+00 1.053243995381096564e+07
6.099604674729399711e+00 8.409971924749651924e+06
6.105707330223097529e+00 2.965060732099439949e+06
6.111816091424631558e+00 2.170828153147955425e+06
6.117930964442756192e+00 2.454111196707411204e+06
6.124051955392354252e+00 7.799344472587944940e+06
6.130179070394424556e+00 1.342494276330419444e+07
6.136312315576075704e+00 1.175798896648848988e+07
6.142451697070548278e+00 3.065962545786714181e+06
6.148597221017229053e+00 7.389341710703996941e+06
6.154748893561648337e+00 5.587592235507715493e+06
6.160906720855489738e+00 2.150859285027139820e+06
6.167070709056560851e+00 6.832621487701955251e+06
6.173240864328839450e+00 9.038385660211088136e+06
6.179417192842489470e+00 4.591802127169122919e+06
6.185599700773853904e+00 1.955474091165466001e+06
6.191788394305445031e+00 5.137719043460358866e+06
6.197983279625935538e+00 1.242378380943983421e+07
6.204184362930218910e+00 1.786473245244209468e+07
6.210391650419379239e+00 1.113262917614486441e+07
6.216605148300705430e+00 1.361689828953886963e+07
6.222824862787705413e+00 9.488654983136706054e+06
6.229050800100091045e+00 2.732490629653863236e+07
6.235282966463794985e+00 1.467263412912978046e+07
6.241521368110988455e+00 1.631641567859517783e+07
6.247766011280059040e+00 2.032664807248510048e+07
6.254016902215655982e+00 2.951595426257551834e+07
6.260274047168675082e+00 2.948419515181310847e+07
6.266537452396248042e+00 1.667100833968575485e+07
6.272807124161805525e+00 1.332808031293519586e+07
6.279083068735027418e+00 2.587582384209014475e+07
6.285365292391835723e+00 2.114213877161446586e+07
6.291653801414451408e+00 1.939806095938442647e+07
6.297948602091395287e+00 2.912546062532834709e+07
6.304249700717476479e+00 3.003078673649527133e+07
6.310557103593776418e+00 2.970943471120866761e+07
6.316870817027704810e+00 2.295645848256250471e+07
6.323190847332971209e+00 2.189782014533008263e+07
6.329517200829613444e+00 1.524206638106931746e+07
6.335849883843987840e+00 7.039935901014164090e+06
6.342188902708793208e+00 2.658140296716554556e+06
6.348534263763021990e+00 3.308573866606448311e+06
6.354885973352024209e+00 8.207192546410180628e+06
6.361244037827538556e+00 1.028684506542737782e+07
6.367608463547619557e+00 4.117272529930655379e+06
6.373979256876696198e+00 3.405708006309677381e+06
6.380356424185563924e+00 1.062709978422203660e+07
6.386739971851379316e+00 6.737233914252345450e+06
6.393129906257697392e+00 5.861374445734650828e+06
6.399526233794450292e+00 8.115651635267784819e+06
6.405928960857968590e+00 3.530014462786067277e+06
6.412338093850992848e+00 2.444743329823484644e+06
6.418753639182643411e+00 2.647993102235556580e+06
6.425175603268465707e+00 4.314869043666440994e+06
6.431603992530422254e+00 3.869915344799285289e+06
6.438038813396905979e+00 7.105988468689833768e+06
6.444480072302737561e+00 1.317371492828240618e+07
6.450927775689183186e+00 5.674727478045129217e+06
6.457381930003953663e+00 1.275696567487780377e+07
6.463842541701190214e+00 1.350974548736165091e+07
6.470309617241494671e+00 4.649678899622398429e+06
6.476783163091949902e+00 4.713239049994446337e+06
6.483263185726116262e+00 3.113991503312950488e+06
6.489749691624008499e+00 3.008105273634459823e+06
6.496242687272122396e+00 2.821029348841533065e+06
6.502742179163471192e+00 4.062719799424593337e+06
6.509248173797545611e+00 6.948842608902113512e+06
6.515760677680336066e+00 5.253271217971640639e+06
6.522279697324338876e+00 3.499203448421208188e+06
6.528805239248586467e+00 8.176396448355239816e+06
6.535337309978613618e+00 1.428810317816848494e+07
6.541875916046493877e+00 6.498863749311851338e+06
6.548421063990831570e+00 7.164079781752795912e+06
6.554972760356781336e+00 4.114882778929532040e+06
6.561531011696033922e+00 6.309088724938669242e+06
6.568095824566834828e+00 3.307731590482017025e+06
6.574667205534010073e+00 3.331556519973252434e+06
6.581245161168945756e+00 6.478955844346132129e+06
6.587829698049589844e+00 5.130457023664765060e+06
6.594420822760478806e+00 4.735242745702648535e+06
6.601018541892748281e+00 8.322701599826464429e+06
6.607622862044109979e+00 1.413988311276028678e+07
6.614233789818874776e+00 8.137022556821380742e+06
6.620851331827975805e+00 8.057524316629549488e+06
6.627475494688961355e+00 4.599109630289508961e+06
6.634106285025993976e+00 3.582191909174047410e+06
6.640743709469855816e+00 3.166952492256822065e+06
6.647387774657984139e+00 5.461376118243638426e+06
6.654038487234453569e+00 1.178343099245619029e+07
6.660695853849973425e+00 1.159236210712276958e+07
6.667359881161896595e+00 7.741234669555460103e+06
6.674030575834250634e+00 4.757227451158954762e+06
6.680707944537742193e+00 5.401914780229677446e+06
6.687391993949728608e+00 7.384456235726354644e+06
6.694082730754263189e+00 1.177081716914240830e+07
6.700780161642089006e+00 1.347419640535740554e+07
6.707484293310628232e+00 5.318849614083273336e+06
6.714195132464016780e+00 5.505895642786261626e+06
6.720912685813111409e+00 6.317975571774884127e+06
6.727636960075451533e+00 8.714510501595063135e+06
6.734367961975309846e+00 2.101416349623503536e+07
6.741105698243684330e+00 2.016760522067961097e+07
6.747850175618314239e+00 9.788232934492979199e+06
6.754601400843687209e+00 1.668434506592831574e+07
6.761359380671025932e+00 2.441757307962331548e+07
6.768124121858305919e+00 1.476526215351801738e+07
6.774895631170272381e+00 6.160614589608170092e+06
6.781673915378439332e+00 9.933106609141897410e+06
6.788458981261083380e+00 4.494832687814835459e+06
6.795250835603268591e+00 5.114248892539172433e+06
6.802049485196855372e+00 1.484588552687017620e+07
6.808854936840480043e+00 1.399075998168617673e+07
6.815667197339611683e+00 1.870524676813162118e+07
6.822486273506513932e+00 7.455624103593904525e+06
6.829312172160262762e+00 6.442851239621471614e+06
6.836144900126752688e+00 1.337857629333254136e+07
6.842984464238715425e+00 1.944425380957971513e+07
6.849830871335718996e+00 1.006391545351720788e+07
6.856684128264157962e+00 4.601608998337527737e+06
6.863544241877307606e+00 4.388561929974593222e+06
6.870411219035266193e+00 7.034832180266625248e+06
6.877285066604999386e+00 1.643040278694492392e+07
6.884165791460373107e+00 1.356170014505256340e+07
6.891053400482104685e+00 2.951299267196973413e+07
6.897947900557811707e+00 2.600229451374645159e+07
6.904849298582002248e+00 9.317942851079761982e+06
6.911757601456057998e+00 1.377823169338501804e+07
6.918672816088298205e+00 3.239163564272247255e+07
6.925594949393933497e+00 3.031025376476715505e+07
6.932524008295088969e+00 3.956522783725940436e+07
6.939459999720836159e+00 2.711554018856791034e+07
6.946402930607153969e+00 2.880200533941240609e+07
6.953352807896971299e+00 1.772242923940208927e+07
6.960309638540181254e+00 5.461133464648690075e+06
6.967273429493618941e+00 1.555768211862712353e+07
6.974244187721073907e+00 1.931075345049525052e+07
6.981221920193293684e+00 2.646712120144282654e+07
6.988206633888011332e+00 2.301067764693898335e+07
6.995198335789934774e+00 1.217137327041835338e+07
7.002197032890780548e+00 3.139586576722092554e+07
7.009202732189245388e+00 3.731064108520192653e+07
7.016215440691027538e+00 2.749233087184455991e+07
7.023235165408840075e+00 9.738789161436146125e+06
7.030261913362399362e+00 3.234828604046835378e+07
7.037295691578454360e+00 2.504295492975928262e+07
7.044336507090792843e+00 6.356010938709003851e+06
7.051384366940223636e+00 1.311179936983442865e+07
7.058439278174613030e+00 2.296343085891396552e+07
7.065501247848868793e+00 4.278589875119040161e+07
