# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Tue Dec 17 16:35:27 2024
# Radiative transfer took 2.968 seconds
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 O2 CO2 H2O O3 NO NO2 N2O HNO3 Water WaterIce Rayleigh CIA
1.034380000e+01 9.13141e-01 9.99999e-01 9.99999e-01 9.69443e-01 9.99879e-01 9.99657e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42428e-01 9.99997e-01 9.99852e-01
1.040920000e+01 9.35120e-01 9.99999e-01 9.99999e-01 9.89928e-01 9.99885e-01 9.99896e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44975e-01 9.99998e-01 9.99845e-01
1.047460000e+01 9.16053e-01 9.99999e-01 9.99999e-01 9.67806e-01 9.99343e-01 9.99970e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.47225e-01 9.99998e-01 9.99837e-01
1.054000000e+01 9.13853e-01 9.99999e-01 9.99999e-01 9.64225e-01 9.98187e-01 9.99991e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.49245e-01 9.99998e-01 9.99829e-01
1.060540000e+01 9.20403e-01 9.99999e-01 9.99999e-01 9.68764e-01 9.99881e-01 9.99997e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.50347e-01 9.99998e-01 9.99820e-01
1.067080000e+01 9.30190e-01 9.99999e-01 9.99999e-01 9.78409e-01 9.99987e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.50907e-01 9.99998e-01 9.99810e-01
1.073620000e+01 9.39199e-01 9.99999e-01 9.99999e-01 9.87928e-01 9.99975e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.50886e-01 9.99998e-01 9.99800e-01
1.080160000e+01 9.43310e-01 9.99999e-01 9.99999e-01 9.94020e-01 9.98558e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.50511e-01 9.99998e-01 9.99790e-01
1.086700000e+01 9.45985e-01 9.99999e-01 9.99999e-01 9.96540e-01 9.99387e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.50049e-01 9.99998e-01 9.99779e-01
1.093240000e+01 9.46843e-01 9.99999e-01 9.99999e-01 9.97648e-01 9.99880e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.49407e-01 9.99998e-01 9.99768e-01
1.099780000e+01 9.44540e-01 9.99999e-01 9.99999e-01 9.98300e-01 9.97478e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.48758e-01 9.99998e-01 9.99756e-01
